# err
# train   val
1.094958 1.092276 
1.079872 1.080416 
1.070620 1.055366 
1.040355 0.994178 
1.028799 0.966464 
0.971447 0.866932 
0.876890 0.763936 
0.745135 0.655419 
0.635922 0.761739 
0.581575 0.666464 
0.495219 0.593224 
0.490557 1.182975 
0.575991 0.716143 
0.666064 0.485821 
0.529233 0.776497 
0.528507 0.587769 
0.523832 0.709414 
0.443804 0.813249 
0.431003 0.577408 
0.410618 1.282632 
0.404512 0.618404 
0.375829 0.813162 
0.381093 0.657643 
0.379775 0.710117 
0.377619 0.780919 
0.380025 0.761356 
0.378617 0.714973 
0.372607 0.741694 
0.377076 0.769387 
0.368765 0.753043 
0.375928 0.745715 
0.366047 0.749462 
0.368365 0.710739 
0.364304 0.673127 
0.360532 0.734718 
0.354246 0.728106 
0.364069 0.764389 
0.368062 0.750627 
0.356788 0.844028 
0.356805 0.845867 
0.359989 0.837155 
0.353287 0.745463 
0.354377 0.747452 
0.361971 0.691776 
0.345971 0.809820 
