# err
# train   val
1.098081 1.083442 
1.062740 1.005650 
0.818606 0.929667 
0.686032 0.682784 
0.555192 0.511932 
0.424874 0.491524 
0.370643 0.394377 
0.313720 0.413965 
0.283328 0.382746 
0.253220 0.424889 
0.205191 0.403625 
0.196959 0.471562 
0.209831 0.435225 
0.152550 0.482095 
0.121683 0.356343 
0.119729 0.479331 
0.130176 0.341231 
0.098830 0.381803 
0.091833 0.457643 
0.093148 0.484863 
0.073317 0.502828 
0.067104 0.489919 
0.061974 0.467225 
0.046618 0.560185 
0.032625 0.474947 
0.027627 0.497723 
0.014031 0.507977 
0.024402 0.522535 
0.009729 0.536477 
0.006217 0.544301 
