# err
# train   val
1.104128 1.097501 
1.099839 1.091720 
1.092366 1.077845 
1.063589 1.003163 
0.910364 0.729765 
0.681912 0.754393 
0.700228 0.585055 
0.678148 0.637967 
0.533187 0.727387 
0.575983 0.526430 
0.531799 0.592104 
0.495316 0.510588 
0.474903 0.517197 
0.444570 0.438003 
0.460142 0.431480 
0.452487 0.418131 
0.422934 0.425837 
0.341541 0.390759 
0.360276 0.395617 
0.471332 0.396470 
0.421826 0.349673 
0.325086 0.309668 
0.384017 0.326491 
0.289251 0.358800 
0.316530 0.375934 
0.294163 0.320371 
0.247687 0.346748 
0.219728 0.387014 
0.168069 0.279507 
0.275983 0.237118 
0.184275 0.428807 
0.190143 0.365712 
0.127730 0.284468 
0.210988 0.240835 
0.136964 0.288571 
0.158222 0.402626 
0.136186 0.378096 
0.191357 0.277252 
0.134893 0.331172 
0.109082 0.294928 
